location,topics 
"Oakton, VA","['xml', 'xslt', 'xpath', 'java', 'marklogic', 'xquery']"
"Russia, Saint-Petersburg","['scala', 'java', 'mongodb', 'scala-collections', 'pattern-matching', 'sbt']"
Germany,"['haskell', 'java', 'scala', 'monads', 'functional-programming', 'types']"
,"['ansible', 'jinja2', 'ansible-template', 'ansible-2.x', 'ansible-inventory', 'yaml']"
"Melbourne, Victoria, Australia","['c#', 'go', 'rust', '.net', 'string', 'asp.net-mvc']"
"Lausanne, Switzerland","['java', 'multithreading', 'android', 'symmetricds', 'eclipse', 'swing']"
"CT, USA","['sql', 'sql-server', 'sql-server-2008', 'tsql', 'powershell', 'sql-server-2005']"
,"['objective-c', 'ios', 'drupal', 'drupal-6', 'cocoa', 'macos']"
"Reading, United Kingdom","['linux', 'mysql', 'sql', 'database', 'performance', 'c']"
"Vienna, Austria","['css', 'html', 'flexbox', 'javascript', 'css-selectors', 'responsive-design']"
"Moscow, Russia","['python', 'python-2.7', 'sed', 'linux', 'unix', 'python-3.x']"
,"['sql', 'mysql', 'sql-server', 'tsql', 'sql-server-2008', 'oracle']"
"Brooklyn, NY, USA","['algorithm', 'python', 'graph', 'data-structures', 'math', 'java']"
"Portsmouth, United Kingdom","['c#', 'sql-server', 'tsql', 'sql', '.net', 'resharper']"
"Colombo, Sri Lanka","['c#', '.net', 'asp.net', 'sql', 'vb.net', 'winforms']"
"Chennai, India","['java', 'unix', 'sed', 'string', 'regex', 'bash']"
"San Francisco, CA","['python', 'perforce', 'python-3.x', 'list', 'dictionary', 'p4v']"
United Kingdom,"['java', 'python', 'oracle', 'jdbc', 'plsql', 'sql']"
"Portland, OR","['java', 'performance', 'oop', 'c#', 'design-patterns', 'swing']"
Romania,"['node.js', 'express', 'javascript', 'mongodb', 'socket.io', 'mongoose']"
"Toronto, Canada","['javascript', 'html', 'css', 'jquery', 'internet-explorer', 'php']"
"SEA, USA","['c++', 'c++11', 'boost', 'f#', 'templates', 'visual-c++']"
"Seattle, WA","['javascript', 'jquery', 'regex', 'css', 'html', 'dom']"
"Tucson, AZ","['wpf', 'c#', '.net', 'xaml', 'binding', 'wpf-controls']"
"Oakmont, PA","['jquery', 'c#', 'javascript', 'html', 'asp.net', 'css']"
"Springfield, MO, United States","['javascript', 'jquery', 'php', 'codeigniter', 'arrays', 'html']"
,"['ios', 'objective-c', 'iphone', 'javascript', 'xcode', 'parse-platform']"
"Ankeny, IA, United States","['c#', 'javascript', 'asp.net', '.net', 'sql', 'vb.net']"
"Hyderabad, Telangana, India","['c#', 'winforms', 'datagridview', 'asp.net', 'visual-studio-2008', '.net']"
Spain,"['git', 'php', 'cakephp', 'javascript', 'regex', 'mongodb']"
"Strongsville, OH","['c#', 'asp.net', 'php', '.net', 'jquery', 'html']"
"Stockholm, Sweden","['c++', 'php', 'c++11', 'language-lawyer', 'javascript', 'templates']"
"Sofia, Bulgaria","['java', 'java-8', 'generics', 'enums', 'arraylist', 'string']"
US west coast,"['perl', 'regex', 'arrays', 'bash', 'awk', 'sed']"
"Brisbane, Queensland, Australia","['javascript', 'reactjs', 'python', 'django', 'html', 'django-models']"
"Islamabad, Pakistan","['c#', 'asp.net-mvc', 'jquery', 'asp.net', 'asp.net-mvc-4', 'javascript']"
"Amherst, NH, USA","['html', 'canvas', 'javascript', 'html5-canvas', 'svg', 'css']"
United States,"['java', 'c', 'git', 'eclipse', 'python', 'macos']"
"Beijing, China","['javascript', 'google-maps', 'google-maps-api-3', 'django', 'jquery', 'pinax']"
India,"['python', 'pandas', 'dataframe', 'python-3.x', 'numpy', 'pandas-groupby']"
"London, UK","['matplotlib', 'python', 'pandas', 'plot', 'seaborn', 'numpy']"
"Washington, United States","['c++', 'c++11', 'stl', 'c', 'templates', 'algorithm']"
"Boston (MA), USA","['c#', '.net', 'wpf', 'winforms', 'linq', 'string']"
United Kingdom,"['haskell', 'ghc', 'monads', 'functional-programming', 'types', 'typeclass']"
"Prague, Czech Republic","['c#', '.net', 'asynchronous', 'sql-server', 'async-await', 'multithreading']"
"Colombo, Sri Lanka","['entity-framework', 'c#', 'angular', 'typescript', 'ionic3', 'ionic-framework']"
United Kingdom,"['html', 'css', 'c#', 'javascript', 'jquery', 'php']"
UTM Zone 10,"['java', 'grails', 'hibernate', 'jpa', 'performance', 'ios']"
"Amsterdam, Netherlands","['php', 'javascript', 'uitableview', 'ios', 'iphone', 'objective-c']"
Texas,"['sql', 'c#', 'javascript', 'asp.net', 'asp.net-mvc', 'jquery']"
,"['c#', 'asp.net-core', 'asp.net', 'sql-server', 'database-design', 'web-services']"
"Cluj-Napoca, Romania","['java', 'multithreading', 'c#', '.net', 'c++', 'concurrency']"
"Austin, TX","['python', 'pyparsing', 'parsing', 'regex', 'list', 'dictionary']"
Switzerland,"['bash', 'shell', 'linux', 'unix', 'sed', 'awk']"
,"['c++', 'c++11', 'c', 'opengl', 'stl', 'linux']"
"Dallas, TX","['perl', 'emacs', 'regex', 'cpan', 'windows', 'arrays']"
"Warsaw, Poland","['java', 'eclipse', 'javascript', '.net', 'c#', 'eclipse-plugin']"
France,"['c++', 'c++11', 'c', 'templates', 'c++14', 'pointers']"
"Seattle, WA, United States","['php', 'doctrine-orm', 'mysql', 'doctrine', 'zend-framework', 'symfony']"
"Denver, CO, United States","['c', 'c#', 'c++', '.net', 'asp.net', 'visual-studio']"
"Seattle, WA, USA","['python', 'java', 'list', 'android', 'c', 'c++']"
"Gainesville, FL, United States","['swift', 'ios', 'objective-c', 'xcode', 'java', 'c++']"
"Warsaw, Poland","['php', 'mysql', 'sql', 'extjs', 'javascript', 'database']"
Australia,"['latex', 'tex', 'git', 'pdflatex', 'wolfram-mathematica', 'matlab']"
"London, UK","['java', 'python', 'string', 'eclipse', 'spring', 'unit-testing']"
"Oxford, United Kingdom","['c++', 'c', 'opengl', 'directx', 'winapi', 'windows']"
,"['python', 'dictionary', 'list', 'python-3.x', 'c++', 'string']"
,"['c#', 'generics', 'list', 'webforms', 'model-view-controller', 'asp.net-mvc']"
,"['c++', 'c++11', 'c', 'multithreading', 'templates', 'pointers']"
The Internet,"['c++', 'c', 'c#', 'pointers', 'multithreading', '.net']"
"Bangkok, Thailand","['javascript', 'c#', '.net', 'linq', 'asp.net', 'asp.net-mvc']"
"Austin, TX","['c#', '.net', 'xml', 'winforms', 'wpf', 'asp.net']"
"Houston, Texas, United States","['string', 'c#', '.net', 'multithreading', 'asp.net', 'winforms']"
"Cluj-Napoca, Romania","['c#', '.net', 'linq', 'wpf', 'sql-server', 'xaml']"
Virginia,"['cocoa', 'objective-c', 'xcode4', 'xcode', 'macos', 'ios']"
"Pittsburgh, PA","['typescript', 'angularjs', 'angular', 'angular-cli', 'javascript', 'jquery']"
"Ha Long city, Vietnam","['c#', 'winforms', 'linq', 'css', 'html', 'wpf']"
"Aarhus, Denmark","['css', 'javascript', 'html', 'jquery', 'typescript', 'vue.js']"
"London, United Kingdom","['javascript', 'html', 'css', 'asp.net', 'c#', 'php']"
"Berkeley, CA","['java', 'maven', 'intellij-idea', 'javascript', 'swing', 'html']"
,"['regex', 'perl', 'eclipse', 'python', 'struts', 'azure-functions']"
Ukraine,"['c#', '.net', 'linq', 'wpf', 'sql', 'asp.net']"
Germany,"['javascript', 'phantomjs', 'encryption', 'casperjs', 'cryptography', 'java']"
United States,"['c', 'assembly', 'c++', 'x86', 'operating-system', 'algorithm']"
,"['android', 'python', 'html', 'java', 'c++', 'c']"
Germany,"['java', 'aspectj', 'aop', 'spring-aop', 'spring', 'spock']"
,"['javascript', 'django', 'd3.js', 'python', 'postgresql', 'pandas']"
,"['php', 'jquery', 'mysql', 'javascript', 'c++', 'html']"
United Kingdom,"['java', 'string', 'eclipse', 'jsp', 'javascript', 'html']"
"Phoenix, AZ","['ruby', 'ruby-on-rails', 'ruby-on-rails-3', 'mongodb', 'javascript', 'rspec']"
"Lausanne, Switzerland","['java', 'junit', 'scala', 'maven', 'sql', 'eclipse']"
,"['javascript', 'html', 'jquery', 'ruby', 'css', 'regex']"
Canada,"['java', 'performance', 'string', 'arrays', 'oop', 'c++']"
"Leipzig, Germany","['node.js', 'angularjs', 'javascript', 'go', 'php', 'flash']"
"Sarajevo, Bosnia and Herzegovina","['angularjs', 'javascript', 'angularjs-directive', 'jquery', 'angularjs-scope', 'angular-ui']"
,"['bash', 'shell', 'perl', 'linux', 'unix', 'sed']"
"Portland, OR","['python', 'enums', 'python-3.x', 'iterator', 'python-2.7', 'dbf']"
,"['c#', 'sql-server', '.net', 'sql', 'asp.net', 'database']"
"Oxford, UK","['javascript', 'regex', 'perl', 'html', 'css', 'database']"
"Palo Alto, CA","['android', 'git', 'haskell', 'python', 'iphone', 'objective-c']"
,"['google-chrome-extension', 'javascript', 'google-chrome', 'html', 'google-chrome-devtools', 'powershell']"
"Kiel, Schleswig-Holstein Germany","['c#', '.net', 'linq', 'java', 'php', 'wpf']"
Ukraine,"['c++', 'python', 'boost', 'html', 'javascript', 'qt']"
"Boston, MA","['java', 'html', 'scala', 'hibernate', 'maven-2', 'css']"
"Seattle, WA, USA","['asp.net', 'c#', 'asp.net-core', 'asp.net-mvc', 'javascript', '.net']"
Argentina,"['math', 'language-agnostic', 'wolfram-mathematica', 'algorithm', 'image-processing', 'image']"
,"['django', 'django-models', 'django-forms', 'python', 'javascript', 'jquery']"
Italy,"['javascript', 'c', 'jquery', 'google-chrome-extension', 'python', 'linux-kernel']"
,"['c#', '.net', 'javascript', 'winforms', 'asp.net', 'c++']"
"Barcelona, Spain","['python', 'pandas', 'list', 'python-3.x', 'dictionary', 'numpy']"
Minnesota,"['c++', 'c', 'pointers', 'python', 'string', 'arrays']"
"San Diego, CA, United States","['php', 'arrays', 'javascript', 'jquery', 'css', 'html']"
Netherlands,"['node.js', 'express', 'php', 'javascript', 'socket.io', 'redis']"
"Ypsilanti, MI, USA","['c#', 'javascript', 'asp.net', '.net', 'jquery', 'linq']"
"New York, NY","['conda', 'twitter-bootstrap', 'python', 'anaconda', 'pip', 'r']"
"Costa Mesa, CA, United States","['javascript', 'go', 'php', 'jquery', 'html', 'angularjs']"
Arizona,"['outlook', 'c#', 'vba', 'outlook-addin', 'email', 'vsto']"
United Kingdom,"['c#', 'c++', 'c', '.net', 'multithreading', 'arrays']"
United Kingdom,"['c#', 'asp.net-mvc', 'asp.net', 'razor', '.net', 'mef']"
Silicon Valley,"['neo4j', 'cypher', 'java', 'android', 'graph-databases', 'node.js']"
,"['python', 'mongodb', 'numpy', 'python-3.x', 'pymongo', 'python-2.7']"
"San Francisco, CA","['cocoapods', 'git', 'xcode', 'ios', 'objective-c', 'afnetworking']"
,"['python', 'javascript', 'jquery', 'html', 'actionscript', 'ios']"
Austria,"['cmake', 'c++', 'visual-studio', 'macos', 'gcc', 'applescript']"
"Lima, Peru","['python', 'linux', 'django', 'mysql', 'c++', 'javascript']"
"San Francisco, CA","['c#', 'sql', '.net', 'sql-server', 'oop', 'database-design']"
"Cedar City, UT, USA","['ffmpeg', 'ruby', 'java', 'windows', 'ruby-on-rails', 'c++']"
"Toronto, Canada","['python', 'c++', 'list', 'string', 'python-3.x', 'c']"
,"['java', 'windows', 'python', 'spring', 'c', '.net']"
"Prineville, OR, USA","['c#', 'wpf', '.net', 'xaml', 'mvvm', 'linq']"
London,"['javascript', 'reactjs', 'node.js', 'jquery', 'css', 'html']"
,"['c#', 'jquery', 'javascript', 'asp.net-mvc-3', 'asp.net-mvc', 'asp.net']"
"Barcelona, Catalunya","['css', 'html', 'flexbox', 'javascript', 'css-animations', 'css-transitions']"
"Baillargues, France","['google-cloud-platform', 'google-cloud-run', 'google-cloud-functions', 'google-cloud-storage', 'python', 'google-cloud-pubsub']"
"Seattle, WA","['python', 'javascript', 'c++', 'matplotlib', 'c#', 'algorithm']"
United States,"['php', 'jquery', 'css', 'arrays', 'javascript', 'html']"
"Halle, Germany","['java', 'jpa', 'maven', 'eclipse', 'hibernate', 'jakarta-ee']"
"Chattanooga, TN","['c#', 'angular', 'typescript', 'asp.net', 'sql-server', 'sql']"
"Yerevan, Armenia","['android', 'android-layout', 'java', 'android-view', 'dagger-2', 'kotlin']"
,"['python', 'c++', 'unit-testing', 'asp.net', 'mfc', 'c#']"
"Lake Mills, WI, USA","['r', 'regex', 'dataframe', 'rstudio', 'plot', 'knitr']"
Poland,"['javascript', 'jquery', 'html', 'php', 'css', 'angularjs']"
,"['android', 'android-constraintlayout', 'android-layout', 'android-recyclerview', 'kotlin', 'java']"
"Sydney NSW, Australia","['c#', 'async-await', '.net', 'task-parallel-library', 'asynchronous', 'multithreading']"
,"['bash', 'linux', 'shell', 'python', 'regex', 'unix']"
,"['android', 'sqlite', 'c', 'git', 'java', 'database']"
Germany,"['asp.net-core', 'c#', '.net-core', 'dependency-injection', 'asp.net-core-mvc', 'asp.net']"
"Bucharest, Romania","['php', 'javascript', 'regex', 'html', 'java', 'mysql']"
"Amsterdam, Netherlands","['python', 'c', 'assembly', 'gcc', 'c++', 'linux']"
"Amsterdam, Netherlands","['python', 'django', 'list', 'dictionary', 'python-2.7', 'regex']"
,"['assembly', 'bit-manipulation', 'c++', 'x86', 'algorithm', 'java']"
Boston,"['node.js', 'javascript', 'jquery', 'meteor', 'reactjs', 'python']"
Arizona,"['iphone', 'objective-c', 'cocoa-touch', 'java', 'android', 'xcode']"
USA,"['javascript', 'c#', 'jquery', 'html', 'sql', 'css']"
Vermont,"['git', 'shell', 'ruby', 'svn', 'ember.js', 'ruby-on-rails']"
The Netherlands,"['r', 'ggplot2', 'dataframe', 'plot', 'plyr', 'for-loop']"
"Melbourne, Victoria, Australia","['c#', '.net', 'winforms', 'vb.net', 'visual-studio', 'excel']"
Canada,"['c++', 'c++11', 'string', 'templates', 'c', 'arrays']"
"Portland, OR","['c#', '.net', 'sql-server', 'sql', 'visual-studio', 'java']"
,"['ember.js', 'ruby-on-rails', 'javascript', 'ember-cli', 'ruby', 'jquery']"
,"['angularjs', 'php', 'java', 'mysql', 'jquery', 'javascript']"
"Brescia, Italy","['prolog', 'c++', 'list', 'swi-prolog', 'qt', 'dcg']"
USA,"['c#', 'wcf', '.net', 'asp.net', 'security', 'azure']"
"Lausanne, Switzerland","['c#', 'sql', 'mysql', 'linq', 'asp.net-mvc', '.net']"
United Kingdom,"['java', 'java-time', 'java-8', 'datetime', 'jodatime', 'date']"
,"['c++', 'c#', 'visual-c++', 'winapi', 'mfc', '.net']"
Israel,"['javascript', 'jquery', 'html', 'css', 'reactjs', 'php']"
Sweden,"['c#', '.net', 'c++', 'javascript', 'asp.net', 'performance']"
Austria,"['r', 'dplyr', 'dataframe', 'ggplot2', 'tidyverse', 'tidyr']"
United States,"['iphone', 'objective-c', 'cocoa-touch', 'ios', 'xcode', 'core-data']"
"Atlanta, GA","['jquery', 'javascript', 'asp.net', 'ajax', 'json', 'c#']"
"Grand Rapids, MI","['mysql', 'c#', 'sql', 'php', 'java', '.net']"
By the sea,"['javascript', 'arrays', 'object', 'jquery', 'reactjs', 'html']"
"Tel Aviv, Israel","['ms-access', 'c#', 'winforms', 'windows-mobile', 'android', 'sql-server-2008']"
"San Diego, CA","['git', 'version-control', 'mercurial', 'tortoisehg', 'vim', 'branch']"
United States,"['android', 'c++', 'iphone', 'assembly', 'ios', 'objective-c']"
Germany,"['cakephp', 'cakephp-3.0', 'php', 'cakephp-3.x', 'query-builder', 'orm']"
,"['typescript', 'reactjs', 'javascript', 'react-hooks', 'webpack', 'node.js']"
Hamburg,"['c++', 'c++11', 'language-lawyer', 'c++14', 'templates', 'lambda']"
"Boston, MA, USA","['javascript', 'xpath', 'java', 'xslt', 'xml', 'html']"
"Copenhagen, Denmark","['c#', '.net', 'linq', 'generics', 'datetime', 'moq']"
,"['vim', 'editor', 'fortran', 'python', 'windows', 'matlab']"
"Salt Lake City, UT","['javascript', 'jquery', 'mysql', 'php', 'sql', 'html']"
,"['dart', 'flutter', 'asynchronous', 'generics', 'async-await', 'types']"
"New Orleans, LA, USA","['haskell', 'functional-programming', 'types', 'monads', 'lazy-evaluation', 'list']"
"Sunnyvale, CA, USA","['python', 'python-3.x', 'python-2.7', 'java', 'windows', 'cocoa-bindings']"
"Singapore, Singapore","['javascript', 'php', 'jquery', 'arrays', 'html', 'css']"
parts unknown,"['android', 'kotlin', 'java', 'ios', 'rx-java', 'android-gradle-plugin']"
New Zealand,"['c++', 'c', 'arrays', 'pointers', 'string', 'algorithm']"
Europe,"['c++', 'c', 'qt', 'java', 'arrays', 'jenkins']"
"Ahmedabad, Gujarat, India","['android', 'java', 'flutter', 'android-layout', 'android-studio', 'firebase']"
Netherlands,"['python', 'c', 'bash', 'algorithm', 'haskell', 'java']"
,"['php', 'arrays', 'regex', 'java', 'mysql', 'string']"
"Arad, Romania","['javascript', 'php', 'html', 'java', 'jquery', 'mysql']"
"Friedberg, Germany","['sql', 'teradata', 'sql-server', 'mysql', 'oracle', 'postgresql']"
"Dublin, Ireland","['.net', 'c#', 'msbuild', 'unit-testing', 'ninject', 'xunit.net']"
Netherlands,"['knockout.js', 'html', 'javascript', 'reporting-services', 'css', 'c#']"
"Knoxville, TN","['google-visualization', 'charts', 'javascript', 'jquery', 'html', 'css']"
Serbia,"['c++', 'php', 'node.js', 'sql', 'javascript', 'linux']"
"Richmond, VA","['r', 'dataframe', 'pandas', 'python', 'ggplot2', 'csv']"
"New York, NY","['java', 'javascript', 'c++', 'c', 'multithreading', 'node.js']"
Switzerland,"['scala', 'swift', 'scala-collections', 'java', 'ios', 'swt']"
,"['javascript', 'c#', 'java', 'python', 'sql', 'php']"
San Marino,"['postgresql', 'php', 'sql', 'svn', 'stored-procedures', 'database']"
"Buenos Aires, Autonomous City of Buenos Aires, Argentina","['java', 'playframework', 'playframework-2.0', 'scala', 'javascript', 'rest']"
Super Mario Land,"['xml', 'regex', 'c#', 'xslt', 'xpath', 'sql']"
"London, United Kingdom","['java', 'java-8', 'java-stream', 'regex', 'arrays', 'multithreading']"
"London, United Kingdom","['sharepoint', 'c#', '.net', 'asp.net', 'sharepoint-2007', 'moss']"
Switzerland,"['c#', '.net', 'sql-server', 'sql', 'java', 'regex']"
Los Angeles,"['r', 'dplyr', 'dataframe', 'python', 'python-3.x', 'regex']"
Edinburgh,"['c', 'c++', 'javascript', 'linux', 'php', 'mysql']"
Netherlands,"['c#', '.net', 'c++', 'c', 'java', 'multithreading']"
"Kolkata, India","['bash', 'c', 'c++', 'string', 'neural-network', 'algorithm']"
"Perth, Australia","['oracle', 'sql', 'plsql', 'oracle10g', 'database', 'oracle11g']"
"Toronto, Canada","['java', 'spring-mvc', 'spring', 'maven', 'eclipse', 'maven-3']"
,"['java', 'python', 'c#', 'generics', '.net', 'multithreading']"
Berlin,"['android', 'android-studio', 'eclipse', 'java', 'intellij-idea', 'testing']"
"Krakow, Poland","['ios', 'xcode', 'swift', 'objective-c', 'core-data', 'xcode-ui-testing']"
,"['python', 'matplotlib', 'pandas', 'plot', 'numpy', 'gdal']"
India,"['jquery', 'asp.net-mvc', 'javascript', 'asp.net-mvc-3', 'fullcalendar', 'json']"
Germany,"['c#', 'linq', '.net', 'regex', 'algorithm', 'entity-framework']"
Sweden,"['svg', 'html', 'css', 'javascript', 'jquery', 'xml']"
"San Francisco, CA","['go', 'git', 'twilio', 'php', 'python', 'vim']"
"Boston, MA","['java', 'objective-c', 'iphone', 'arrays', 'cocoa', 'cocoa-touch']"
"Monroe, WA, USA","['c#', '.net', 'winforms', 'knockout.js', 'javascript', 'wpf']"
,"['azure', 'python', 'c#', 'javascript', 'dropbox', 'dropbox-api']"
United States,"['mongodb', 'typescript', 'javascript', 'reactjs', 'node.js', 'mongoose']"
"Bozeman, Montana","['r', 'data.table', 'dataframe', 'performance', 'join', 'aggregate']"
United States,"['python', 'django', 'django-models', 'django-admin', 'javascript', 'bash']"
,"['r', 'python', 'perl', 'linux', 'unix', 'pandas']"
"Newcastle, United Kingdom","['r', 'ggplot2', 'dataframe', 'plot', 'vector', 'boxplot']"
"Toronto, ON, Canada","['c#', '.net', 'iis', 'asp.net', 'visual-studio', 'mono']"
"Stockholm, Sweden","['iphone', 'objective-c', 'c++', 'uitableview', 'c', 'xcode']"
"Amsterdam, Netherlands","['elasticsearch', 'java', 'solr', 'lucene', 'search', 'xml']"
Switzerland,"['php', 'arrays', 'string', 'c', 'regex', 'multidimensional-array']"
,"['git', 'linux', 'bash', 'unix', 'shell', 'c']"
Ecuador,"['python', 'pytest', 'python-3.x', 'django', 'pycharm', 'pandas']"
Virginia,"['java', 'perl', 'javascript', 'regex', 'ruby', 'python']"
"Vancouver, BC, Canada","['x86', 'performance', 'c++', 'assembly', 'java', 'multithreading']"
"London, United Kingdom","['iphone', 'objective-c', 'ios', 'cocoa-touch', 'xcode', 'cocoa']"
United States,"['vb6', 'c#', '.net', 'visual-studio-2008', 'sql-server', 'sql']"
"Sydney, Australia","['laravel', 'php', 'laravel-4', 'laravel-5', 'codeigniter', 'mysql']"
,"['java', 'swing', 'mysql', 'eclipse', 'android', 'html']"
"Dayton, OH","['redux', 'reactjs', 'react-redux', 'javascript', 'redux-toolkit', 'redux-thunk']"
"Oslo, Norway","['c#', '.net', 'string', 'winforms', 'asp.net', 'linq']"
"Aberfeldy, Scotland (remote work ftw)","['css', 'javascript', 'html', 'reactjs', 'angularjs', 'jquery']"
"Los Angeles, CA","['objective-c', 'c++', 'iphone', 'cocoa', 'ios', 'c']"
,"['c#', 'ruby-on-rails-3', 'android', 'java', 'alfresco', 'liferay']"
"Chicago, IL","['c++', 'c', 'pointers', 'c++11', 'stl', 'templates']"
"Bangalore, India","['regex', 'apache-flex', 'actionscript-3', 'javascript', 'flash', 'c']"
,"['java', 'android', 'eclipse', 'maven', 'gradle', 'node.js']"
"Lehi, UT","['node.js', 'javascript', 'c#', 'asp.net-mvc', 'entity-framework', 'html']"
"Nantes, France","['angular', 'typescript', 'javascript', 'entity-framework', 'c#', 'json']"
,"['mongodb', 'mongodb-query', 'aggregation-framework', 'python', 'pymongo', 'python-3.x']"
"San Francisco, CA","['python', 'numpy', 'scipy', 'matplotlib', 'machine-learning', 'algorithm']"
"London, United Kingdom","['r', 'dataframe', 'ggplot2', 'data.table', 'matrix', 'list']"
"Sydney, Australia","['python', 'list', 'python-3.x', 'string', 'python-2.7', 'dictionary']"
"Akron, OH","['bash', 'linux', 'c', 'shell', 'perl', 'unix']"
"Reno, NV, United States","['apache-kafka', 'apache-kafka-streams', 'java', 'kafka-consumer-api', 'apache-storm', 'kafka-producer-api']"
"Kansas City, MO","['ssis', 'sql-server', 'sql-server-2008', 'sql', 'etl', 'c#']"
"Riga, Latvia","['php', 'model-view-controller', 'oop', 'architecture', 'design-patterns', 'mysql']"
,"['excel', 'google-sheets', 'excel-formula', 'worksheet-function', 'vba', 'conditional-formatting']"
United States,"['javascript', 'html', 'c#', 'asp.net', 'jquery', 'dom']"
"Saarbrucken, Germany","['c++', 'c++11', 'c', 'emacs', 'stl', 'templates']"
,"['java', 'c', 'xml', 'mysql', 'python', 'perl']"
,"['javascript', 'java', 'c#', 'algorithm', 'c++', 'c']"
"Boston, MA, USA","['python', 'selenium', 'selenium-webdriver', 'linux', 'http', 'urllib2']"
"Alameda, CA","['c++', 'ruby', 'c', 'string', 'java', 'algorithm']"
"Vienna, Austria","['linux', 'wpf', 'c#', '.net', 'java', 'database']"
"London, United Kingdom","['android', 'php', 'javascript', 'zend-framework', 'ios', 'objective-c']"
IT,"['powershell', 'powershell-2.0', 'powershell-3.0', 'windows', '.net', 'c#']"
"Rome, Italy","['swift', 'ios', 'sprite-kit', 'arrays', 'objective-c', 'swift2']"
"Doylestown, PA, United States","['c++', 'python', 'c', 'java', 'linux', 'mysql']"
Germany,"['java', 'javascript', 'c', 'gwt', 'algorithm', 'bash']"
"San Francisco, CA, United States","['ruby-on-rails', 'ruby-on-rails-4', 'javascript', 'jquery', 'css', 'html']"
Pittsburgh,"['java', 'c', 'json', 'vim', 'c++', 'string']"
Ohio,"['c', 'string', 'operators', 'identity-operator', 'equality-operator', 'c#']"
,"['linux', 'video', 'sockets', 'c', 'ffmpeg', 'unix']"
"Rockville, MD, United States","['python', 'python-3.x', 'discord.py', 'discord', 'list', 'string']"
,"['c#', '.net', 'python', 'javascript', 'sql-server', 'sql']"
"Fort Lee, New Jersey United States","['git', 'java', 'android', 'clojure', 'ruby', 'functional-programming']"
"Madurai, India","['javascript', 'jquery', 'regex', 'html', 'c#', 'arrays']"
,"['jquery', 'javascript', 'html', 'css', 'mongodb', 'mongodb-query']"
"San Leandro, CA, United States","['c#', '.net', 'c++', 'wpf', 'java', 'c']"
"Zagreb, Croatia","['jquery-mobile', 'jquery', 'javascript', 'cordova', 'html', 'css']"
Netherlands,"['wpf', 'string', 'xml', 'window', 'list', 'arrays']"
UK,"['c#', '.net', 'windows', 'git', 'wpf', 'c++']"
United Kingdom,"['c++', 'c#', '.net', 'windows', 'c', 'winapi']"
Belgium,"['c++', 'algorithm', 'image-processing', 'geometry', 'math', 'python']"
"Berlin, Germany","['android', 'sqlite', 'java', 'database', 'eclipse', 'android-layout']"
Virginia,"['laravel', 'php', 'laravel-5', 'eloquent', 'mysql', 'laravel-5.2']"
,"['php', 'arrays', 'java', 'html', 'mysql', 'drupal']"
"San Marcos, Texas, United States","['html', 'ios', 'css', 'ruby-on-rails', 'java', 'javascript']"
The Internet,"['javascript', 'css', 'html', 'google-chrome', 'jquery', 'php']"
Sweden,"['c#', 'asp.net-mvc', 'jquery', 'html', 'asp.net', '.net']"
Portugal,"['css', 'html', 'javascript', 'twitter-bootstrap', 'flexbox', 'twitter-bootstrap-3']"
"Bellevue, Washington United States","['asp.net-mvc', 'c#', '.net', 'asp.net', 'nuget', 'routing']"
,"['r', 'ggplot2', 'plot', 'dataframe', 'data.table', 'statistics']"
,"['asp.net', 'c#', '.net', 'asp.net-mvc', 'javascript', 'jquery']"
UK,"['python', 'tensorflow', 'numpy', 'keras', 'python-3.x', 'arrays']"
"Milwaukee, WI","['jquery', 'javascript', 'jquery-selectors', 'html', 'ajax', 'asp.net-mvc']"
,"['git', 'github', 'git-branch', 'git-log', 'haskell', 'go']"
"Brooklyn, New York, NY, United States","['iphone', 'ios', 'objective-c', 'xcode', 'ipad', 'ios4']"
"Bangalore, India","['c++', 'c', 'c++-cli', 'winforms', 'graphics', '.net']"
"Little Rock, AR","['sql-server', 'c#', '.net', 'sql', 'database-design', 'algorithm']"
United States,"['common-lisp', 'lisp', 'emacs', 'elisp', 'list', 'clisp']"
"Athens, Greece","['spring', 'java', 'spring-boot', 'spring-mvc', 'quarkus', 'thymeleaf']"
"Florida, United States","['jquery', 'javascript', 'html', 'angularjs', 'angular', 'css']"
"Sydney, Australia","['mod-wsgi', 'python', 'django', 'apache', 'wsgi', 'openshift']"
Finland,"['sharepoint', 'javascript', 'c#', 'google-maps', 'reactjs', 'sharepoint-2013']"
"San Francisco, CA","['iphone', 'ios', 'objective-c', 'ipad', 'xcode', 'cocoa-touch']"
"keymasherville, USA.","['javascript', 'css', 'internet-explorer', 'arrays', 'variables', 'for-loop']"
"Orange, France","['javascript', 'jquery', 'arrays', 'html', 'dom', 'node.js']"
"Florida, USA","['sql', 'mysql', 'c#', 'jquery', 'sql-server', 'select']"
"Kalmar, Sweden","['c#', 'php', '.net', 'javascript', 'mysql', 'jquery']"
"Toronto, ON, Canada","['git', 'github', 'version-control', 'ssh', 'linux', 'git-lfs']"
"Waxhaw, NC, United States","['html', 'css', 'javascript', 'jquery', 'coldfusion', 'oop']"
United States,"['vim', 'c++', 'java', 'stl', 'c#', 'pointers']"
Norway,"['jquery', 'javascript', 'php', 'mysql', 'java', 'html']"
